Symbol,Todays_Date,Holder,Shares,Date_Reported,Percent_Out,Value
MMM,12/23/20,"Vanguard Group, Inc. (The)",45361184,"Sep 29, 2020",7.86,7265954453
MMM,12/23/20,Blackrock Inc.,38855440,"Sep 29, 2020",6.74,6223864379
MMM,12/23/20,State Street Corporation,30597320,"Sep 29, 2020",5.3,4901078717
MMM,12/23/20,Newport Trust Co,10969884,"Sep 29, 2020",1.9,1757156019
MMM,12/23/20,State Farm Mutual Automobile Insurance Co,10245700,"Sep 29, 2020",1.78,1641156226
MMM,12/23/20,Flossbach von Storch AG,8705643,"Sep 29, 2020",1.51,1394469895
MMM,12/23/20,"Geode Capital Management, LLC",8377739,"Sep 29, 2020",1.45,1341946233
MMM,12/23/20,Massachusetts Financial Services Co.,7799795,"Sep 29, 2020",1.35,1249371163
MMM,12/23/20,Northern Trust Corporation,7390067,"Sep 29, 2020",1.28,1183740932
MMM,12/23/20,"Charles Schwab Investment Management, Inc.",7090861,"Sep 29, 2020",1.23,1135814114
ABT,12/23/20,"Vanguard Group, Inc. (The)",148155501,"Sep 29, 2020",8.36,16123763173
ABT,12/23/20,Blackrock Inc.,135019032,"Sep 29, 2020",7.62,14694121252
ABT,12/23/20,Capital Research Global Investors,87413660,"Sep 29, 2020",4.93,9513228617
ABT,12/23/20,State Street Corporation,73674771,"Sep 29, 2020",4.16,8018025327
ABT,12/23/20,Capital International Investors,55977647,"Sep 29, 2020",3.16,6092047323
ABT,12/23/20,"Wellington Management Company, LLP",35005383,"Sep 29, 2020",1.98,3809635831
ABT,12/23/20,Northern Trust Corporation,27028098,"Sep 29, 2020",1.52,2941467905
ABT,12/23/20,Bank of America Corporation,26317545,"Sep 29, 2020",1.48,2864138422
ABT,12/23/20,Massachusetts Financial Services Co.,25721656,"Sep 29, 2020",1.45,2799287822
ABT,12/23/20,Morgan Stanley,25371069,"Sep 29, 2020",1.43,2761133439
ABBV,12/23/20,"Vanguard Group, Inc. (The)",144334850,"Sep 29, 2020",8.18,12642289511
ABBV,12/23/20,Blackrock Inc.,122016637,"Sep 29, 2020",6.91,10687437234
ABBV,12/23/20,State Street Corporation,78208461,"Sep 29, 2020",4.43,6850279098
ABBV,12/23/20,Capital Research Global Investors,40804113,"Sep 29, 2020",2.31,3574032257
ABBV,12/23/20,Price (T.Rowe) Associates Inc,32739879,"Sep 29, 2020",1.85,2867686001
ABBV,12/23/20,"FMR, LLC",30257179,"Sep 29, 2020",1.71,2650226308
ABBV,12/23/20,JP Morgan Chase & Company,29190573,"Sep 29, 2020",1.65,2556802289
ABBV,12/23/20,"Geode Capital Management, LLC",26135072,"Sep 29, 2020",1.48,2289170956
ABBV,12/23/20,Northern Trust Corporation,24363192,"Sep 29, 2020",1.38,2133971987
ABBV,12/23/20,"Berkshire Hathaway, Inc",21264316,"Sep 29, 2020",1.2,1862541438
ABMD,12/23/20,"Vanguard Group, Inc. (The)",4850859,"Sep 29, 2020",10.73,1343978994
ABMD,12/23/20,Blackrock Inc.,3945608,"Sep 29, 2020",8.73,1093170152
ABMD,12/23/20,Baillie Gifford and Company,2945253,"Sep 29, 2020",6.52,816011796
ABMD,12/23/20,"Renaissance Technologies, LLC",2257123,"Sep 29, 2020",4.99,625358498
ABMD,12/23/20,Primecap Management Company,2223842,"Sep 29, 2020",4.92,616137664
ABMD,12/23/20,State Street Corporation,1948779,"Sep 29, 2020",4.31,539928709
ABMD,12/23/20,"Wellington Management Company, LLP",1898733,"Sep 29, 2020",4.2,526062964
ABMD,12/23/20,"Brown Capital Management, Inc.",1618081,"Sep 29, 2020",3.58,448305521
ABMD,12/23/20,"Sands Capital Management, LLC",1494965,"Sep 29, 2020",3.31,414195002
ABMD,12/23/20,"Geode Capital Management, LLC",743154,"Sep 29, 2020",1.64,205898247
ACN,12/23/20,"Vanguard Group, Inc. (The)",55861123,"Sep 29, 2020",8.45,12624055186
ACN,12/23/20,Blackrock Inc.,45672188,"Sep 29, 2020",6.91,10321457766
ACN,12/23/20,State Street Corporation,26681351,"Sep 29, 2020",4.04,6029718512
ACN,12/23/20,Massachusetts Financial Services Co.,24214891,"Sep 29, 2020",3.66,5472323217
ACN,12/23/20,Capital Research Global Investors,12471154,"Sep 29, 2020",1.89,2818356092
ACN,12/23/20,Morgan Stanley,11414324,"Sep 29, 2020",1.73,2579523080
ACN,12/23/20,"Wellington Management Company, LLP",10536469,"Sep 29, 2020",1.59,2381136629
ACN,12/23/20,"FMR, LLC",10413672,"Sep 29, 2020",1.58,2353385735
ACN,12/23/20,Northern Trust Corporation,9535688,"Sep 29, 2020",1.44,2154970131
ACN,12/23/20,"Geode Capital Management, LLC",9473908,"Sep 29, 2020",1.43,2141008468
ATVI,12/23/20,"Vanguard Group, Inc. (The)",60418557,"Sep 29, 2020",7.82,4890882189
ATVI,12/23/20,"FMR, LLC",55102564,"Sep 29, 2020",7.13,4460552555
ATVI,12/23/20,Blackrock Inc.,54696365,"Sep 29, 2020",7.08,4427670746
ATVI,12/23/20,State Street Corporation,34467491,"Sep 29, 2020",4.46,2790143396
ATVI,12/23/20,Capital International Investors,32578869,"Sep 29, 2020",4.22,2637259445
ATVI,12/23/20,Capital World Investors,32211831,"Sep 29, 2020",4.17,2607547719
ATVI,12/23/20,"Geode Capital Management, LLC",11839478,"Sep 29, 2020",1.53,958405744
ATVI,12/23/20,Invesco Ltd.,11466952,"Sep 29, 2020",1.48,928249764
ATVI,12/23/20,"Ameriprise Financial, Inc.",10299078,"Sep 29, 2020",1.33,833710364
ATVI,12/23/20,Northern Trust Corporation,9626578,"Sep 29, 2020",1.25,779271489
ADBE,12/23/20,"Vanguard Group, Inc. (The)",38849222,"Sep 29, 2020",8.1,19052823945
ADBE,12/23/20,Blackrock Inc.,37012598,"Sep 29, 2020",7.72,18152088437
ADBE,12/23/20,"FMR, LLC",30271325,"Sep 29, 2020",6.31,14845965919
ADBE,12/23/20,State Street Corporation,19783974,"Sep 29, 2020",4.12,9702654368
ADBE,12/23/20,Primecap Management Company,9479580,"Sep 29, 2020",1.98,4649070419
ADBE,12/23/20,Bank Of New York Mellon Corporation,8634176,"Sep 29, 2020",1.8,4234458935
ADBE,12/23/20,"Geode Capital Management, LLC",7887198,"Sep 29, 2020",1.64,3868118515
ADBE,12/23/20,Jennison Associates LLC,6932155,"Sep 29, 2020",1.45,3399736776
ADBE,12/23/20,Janus Henderson Group PLC,6755875,"Sep 29, 2020",1.41,3313283776
ADBE,12/23/20,Massachusetts Financial Services Co.,6208841,"Sep 29, 2020",1.29,3045001891
AMD,12/23/20,"Vanguard Group, Inc. (The)",95830991,"Sep 29, 2020",7.97,7857182952
AMD,12/23/20,Blackrock Inc.,80339991,"Sep 29, 2020",6.68,6587075862
AMD,12/23/20,Price (T.Rowe) Associates Inc,55548488,"Sep 29, 2020",4.62,4554420531
AMD,12/23/20,"FMR, LLC",47929248,"Sep 29, 2020",3.99,3929719043
AMD,12/23/20,State Street Corporation,46890817,"Sep 29, 2020",3.9,3844578085
AMD,12/23/20,Capital World Investors,46299316,"Sep 29, 2020",3.85,3796080918
AMD,12/23/20,JP Morgan Chase & Company,37940690,"Sep 29, 2020",3.15,3110757173
AMD,12/23/20,"Wellington Management Company, LLP",23158829,"Sep 29, 2020",1.93,1898792389
AMD,12/23/20,"Geode Capital Management, LLC",17441993,"Sep 29, 2020",1.45,1430069006
AMD,12/23/20,Bank Of New York Mellon Corporation,13841345,"Sep 29, 2020",1.15,1134851876
AAP,12/23/20,"Vanguard Group, Inc. (The)",7357179,"Sep 29, 2020",10.84,1129326976
AAP,12/23/20,Blackrock Inc.,4496376,"Sep 29, 2020",6.63,690193716
AAP,12/23/20,"ClearBridge Investments, LLC",4171013,"Sep 29, 2020",6.15,640250495
AAP,12/23/20,"Barrow, Hanley Mewhinney & Strauss, LLC",3853187,"Sep 29, 2020",5.68,591464204
AAP,12/23/20,Melvin Capital Management LP,3725627,"Sep 29, 2020",5.49,571883744
AAP,12/23/20,State Street Corporation,3235397,"Sep 29, 2020",4.77,496633439
AAP,12/23/20,Caisse De Depot Et Placement Du Quebec,1679111,"Sep 29, 2020",2.47,257743538
AAP,12/23/20,Artisan Partners Limited Partnership,1642727,"Sep 29, 2020",2.42,252158594
AAP,12/23/20,Starboard Value LP,1596921,"Sep 29, 2020",2.35,245127373
AAP,12/23/20,"American Century Companies, Inc.",1576385,"Sep 29, 2020",2.32,241975097
AES,12/23/20,"Vanguard Group, Inc. (The)",84611595,"Sep 29, 2020",12.72,1532315985
AES,12/23/20,Capital World Investors,81245083,"Sep 29, 2020",12.21,1471348453
AES,12/23/20,Blackrock Inc.,46369077,"Sep 29, 2020",6.97,839743984
AES,12/23/20,State Street Corporation,35613351,"Sep 29, 2020",5.35,644957786
AES,12/23/20,"FMR, LLC",32019483,"Sep 29, 2020",4.81,579872837
AES,12/23/20,"Ameriprise Financial, Inc.",24487925,"Sep 29, 2020",3.68,443476321
AES,12/23/20,Capital International Investors,22451436,"Sep 29, 2020",3.38,406595505
AES,12/23/20,Price (T.Rowe) Associates Inc,12340191,"Sep 29, 2020",1.86,223480859
AES,12/23/20,"Geode Capital Management, LLC",11542701,"Sep 29, 2020",1.74,209038315
AES,12/23/20,Massachusetts Financial Services Co.,10198675,"Sep 29, 2020",1.53,184698004
AFL,12/23/20,"Vanguard Group, Inc. (The)",60325689,"Sep 29, 2020",8.59,2192838795
AFL,12/23/20,"Japan Post Holdings Co., Ltd.",52300000,"Sep 29, 2020",7.45,1901105000
AFL,12/23/20,Blackrock Inc.,47266282,"Sep 29, 2020",6.73,1718129350
AFL,12/23/20,State Street Corporation,33964417,"Sep 29, 2020",4.84,1234606557
AFL,12/23/20,Wells Fargo & Company,15574255,"Sep 29, 2020",2.22,566124169
AFL,12/23/20,"Geode Capital Management, LLC",10351897,"Sep 29, 2020",1.47,376291455
AFL,12/23/20,Northern Trust Corporation,8538636,"Sep 29, 2020",1.22,310379418
AFL,12/23/20,Boston Partners,8399354,"Sep 29, 2020",1.2,305316517
AFL,12/23/20,"American Century Companies, Inc.",7331122,"Sep 29, 2020",1.04,266486284
AFL,12/23/20,Norges Bank Investment Management,6618879,"Dec 30, 2019",0.94,350138699
A,12/23/20,Blackrock Inc.,24814167,"Sep 29, 2020",8.05,2504742016
A,12/23/20,"Vanguard Group, Inc. (The)",24256942,"Sep 29, 2020",7.87,2448495725
A,12/23/20,Price (T.Rowe) Associates Inc,23689346,"Sep 29, 2020",7.68,2391202585
A,12/23/20,State Street Corporation,13654344,"Sep 29, 2020",4.43,1378269483
A,12/23/20,"Pershing Square Capital Management, L.P.",12248514,"Sep 29, 2020",3.97,1236365003
A,12/23/20,"Wellington Management Company, LLP",8602185,"Sep 29, 2020",2.79,868304553
A,12/23/20,Harris Associates L.P.,5825454,"Sep 29, 2020",1.89,588021326
A,12/23/20,Invesco Ltd.,5425672,"Sep 29, 2020",1.76,547667331
A,12/23/20,Artisan Partners Limited Partnership,5399578,"Sep 29, 2020",1.75,545033403
A,12/23/20,"Geode Capital Management, LLC",4991632,"Sep 29, 2020",1.62,503855334
APD,12/23/20,"Vanguard Group, Inc. (The)",19259380,"Sep 29, 2020",8.71,5736598926
APD,12/23/20,Blackrock Inc.,15475928,"Sep 29, 2020",7.0,4609659914
APD,12/23/20,State Farm Mutual Automobile Insurance Co,14016300,"Sep 29, 2020",6.34,4174895118
APD,12/23/20,State Street Corporation,9680026,"Sep 29, 2020",4.38,2883292544
APD,12/23/20,Bank of America Corporation,8574121,"Sep 29, 2020",3.88,2553887681
APD,12/23/20,JP Morgan Chase & Company,5989893,"Sep 29, 2020",2.71,1784149528
APD,12/23/20,Capital International Investors,5913903,"Sep 29, 2020",2.68,1761515147
APD,12/23/20,Wells Fargo & Company,4289804,"Sep 29, 2020",1.94,1277761019
APD,12/23/20,"Franklin Resources, Inc.",4250152,"Sep 29, 2020",1.92,1265950274
APD,12/23/20,"FMR, LLC",3930400,"Sep 29, 2020",1.78,1170708944
AKAM,12/23/20,"Vanguard Group, Inc. (The)",17850468,"Sep 29, 2020",10.97,1973190732
AKAM,12/23/20,Blackrock Inc.,14040354,"Sep 29, 2020",8.62,1552020731
AKAM,12/23/20,"ClearBridge Investments, LLC",7652193,"Sep 29, 2020",4.7,845873414
AKAM,12/23/20,Canada Pension Plan Investment Board,7238399,"Sep 29, 2020",4.45,800132625
AKAM,12/23/20,State Street Corporation,7057105,"Sep 29, 2020",4.33,780092386
AKAM,12/23/20,Bank of America Corporation,3917967,"Sep 29, 2020",2.41,433092072
AKAM,12/23/20,First Trust Advisors LP,3764599,"Sep 29, 2020",2.31,416138773
AKAM,12/23/20,"FMR, LLC",3426659,"Sep 29, 2020",2.1,378782885
AKAM,12/23/20,JP Morgan Chase & Company,3189339,"Sep 29, 2020",1.96,352549533
AKAM,12/23/20,"Geode Capital Management, LLC",2894191,"Sep 29, 2020",1.78,319923873
